CalfMaxGirth,AnkleMinGirth,BicepGirth,ForearmGirth,WristMinGirth,Age,Weight,Height,Gender
36.1,21.4,36.3,28.6,16.3,25,74.9,172.1,1
33.6,20.3,30.8,26.1,15.8,29,59.1,167,1
38.1,21.1,39.8,29.6,16.9,23,75.6,169.5,1
36.5,22.7,39.5,31.7,17.9,23,86.2,174,1
38.3,23.4,37.9,30.9,17.3,36,75.3,172.7,1
38.6,21.9,40.1,30,16.4,25,87.1,182.2,1
30.5,19,30.5,24.8,15,24,55.2,164.1,1
36.3,20,31.5,26.6,15.8,20,57,163,1
34.7,21.1,27.8,26,15.3,52,61.4,171.5,1
39.1,23.2,33.1,28,17.7,50,76.8,184.2,1
42.4,25.3,36.3,29.6,17.5,46,86.8,174,1
35.2,21.4,34.5,27,16.5,51,72.2,174,1
37.5,21.6,31.2,27.5,16.1,28,71.6,177,1
38,22.4,34.5,28.4,17.2,48,84.8,186,1
36,21.8,33.2,26.4,17.5,35,68.2,167,1
33.8,21.1,32.1,27.4,16.9,23,66.1,171.8,1
36.2,22,34.2,27.9,17.5,23,72,182,1
34.5,22.8,29.5,26,17.4,62,64.6,167,1
36.3,21.8,32.4,27.6,16.7,21,74.8,177.8,1
37.4,22,33.8,28.6,17.2,26,70,164.5,1
39.6,24.6,39.6,30.6,17.7,33,101.6,192,1
32.6,21,30.7,25.8,16.1,36,63.2,175.5,1
39.1,24.5,35.7,29.4,17.9,41,79.1,171.2,1
35.6,21.6,31,26,16.6,40,78.9,181.6,1
39,21.2,31.5,26.3,15.6,27,67.7,167.4,1
36,23.8,30.6,27.1,17.5,27,66,181.1,1
34,22,36,28.6,17,23,68.2,177,1
37.9,22.7,28.6,23.9,15.8,31,63.9,174.5,1
37.6,21.1,32.3,26.8,15.8,26,72,177.5,1
35.1,20.1,28.6,24.8,15.4,23,56.8,170.5,1
35.6,22.1,33.2,28,16.3,24,74.5,182.4,1
39.5,23.6,34,29.8,18,24,90.9,197.1,1
41.2,23.3,35.8,27.2,16,34,93,180.1,1
40.8,25.9,34,28.8,18,21,80.9,175.5,1
35.8,21.3,30.9,26.6,16.5,25,72.7,180.6,1
35.7,22.1,29.2,26.1,16.7,34,68,184.4,1
36.4,20.7,32,27.1,16.2,31,70.9,175.5,1
38,21.6,32.6,27.4,16.6,40,72.5,180.6,1
36,22.6,36.7,29.9,17.3,21,72.5,177,1
38.6,23.1,36.9,29.4,17.3,33,83.4,177.1,1
36.5,21.9,33,27.8,16.4,25,75.5,181.6,1
37.9,22.3,33.5,27.3,16.6,29,73,176.5,1
35.2,22,34.3,28.5,17,27,70.2,175,1
37.8,20.3,33.3,28,16.5,44,73.4,174,1
35.2,21.1,33,28,16.3,26,70.5,165.1,1
38.6,21.2,30.5,26.1,16,22,68.9,177,1
39.3,24.6,37.5,29,18.6,37,102.3,192,1
37.7,22.7,31.2,26.2,16.2,38,68.4,176.5,1
35.3,21.5,33.1,27.2,16.2,20,65.9,169.4,1
35.5,24,32,27.4,16.5,21,75.7,182.1,1
39.4,23.2,34.6,27.9,17,24,84.5,179.8,1
43,25.3,35.6,27.3,17.7,45,87.7,175.3,1
41.8,24,34.7,29.4,17.8,25,86.4,184.9,1
38.5,22.5,33.5,27.9,17.5,22,73.2,177.3,1
32.5,21.2,25.6,22.7,14.6,29,53.9,167.4,1
35,21,32.5,28,16.4,37,72,178.1,1
34.5,20.9,27,23.6,16,20,55.5,168.9,1
34,20.8,30.7,25.3,16.4,20,58.4,157.2,1
39.7,26.3,36.9,28.8,18.1,32,83.2,180.3,1
37.3,23.1,33.7,28.6,16.7,23,72.7,170.2,1
34.2,21.3,28.7,25.5,15.6,25,64.1,177.8,1
34.3,22.3,36.3,32.5,18.4,27,72.3,172.7,1
35.5,23,33.2,27.9,16.3,21,65,165.1,1
34.7,23,36.3,28,16.1,27,86.4,186.7,1
33.5,23,36.3,28.9,17.1,25,65,165.1,1
39.4,25.6,38.6,30.3,18.3,38,88.6,174,1
38.3,23.7,34.6,29.7,18,44,84.1,175.3,1
30.2,16.4,30,26.5,16.1,27,66.8,185.4,1
37.7,24.5,35.2,28.7,17.3,37,75.5,177.8,1
39.4,25.1,38.2,30.1,17.7,28,93.2,180.3,1
38.2,22.8,38.7,30.2,18.2,33,82.7,180.3,1
32.1,20,30.3,25.4,15.3,25,58,177.8,1
38.3,24.6,37.9,31.6,18.1,21,79.5,177.8,1
39.6,25.8,33.7,28,17.6,30,78.6,177.8,1
34.6,20.6,35.7,27.6,16,26,71.8,177.8,1
47.7,27,39.4,32.1,19.2,27,116.4,177.8,1
35.8,22.2,34.8,28,16.3,33,72.2,163.8,1
35.9,23,35.3,28.7,17.4,29,83.6,188,1
37,27.5,32.8,28.7,17.9,27,85.5,198.1,1
40,24.2,37.2,30.9,17.6,34,90.9,175.3,1
37.7,21.6,38,30.2,18.3,42,85.9,166.4,1
39,25.8,40,31.2,19.5,29,89.1,190.5,1
36.4,23.2,30.1,26.8,16.3,41,75,166.4,1
37.7,23.4,32.9,29,17,43,77.7,177.8,1
39.3,24.5,31.9,28.5,17.1,43,86.4,179.7,1
40.7,25.3,39.2,30.5,17.5,29,90.9,172.7,1
32.9,23.2,32.1,27.7,17,27,73.6,190.5,1
36.8,24.6,31.1,27,18.4,62,76.4,185.4,1
33,23,32.9,27.2,16.8,33,69.1,168.9,1
36.6,22.9,36.6,28.4,18.1,45,84.5,167.6,1
36.2,21.2,29.6,26.2,16.2,30,64.5,175.3,1
37.7,23.6,37,30.6,18.5,20,69.1,170.2,1
39.6,24.7,37.1,30,18.2,22,108.6,190.5,1
41.8,25,38.1,29.8,19.6,51,86.4,177.8,1
37.6,25,33.9,28.6,17.7,34,80.9,190.5,1
39.2,24.9,38.2,29.9,17.6,44,87.7,177.8,1
40,23.7,34.9,28.9,18.1,46,94.5,184.2,1
37.7,24.5,33.1,28.4,17.1,34,80.2,176.5,1
36.4,22.9,31.5,26.5,17,32,72,177.8,1
33,22,31,25.7,15.5,28,71.4,180.3,1
38.4,21.3,30.5,26.4,16.4,31,72.7,171.4,1
37.7,23.8,39.2,29.9,17.1,29,84.1,172.7,1
36.9,23,33.5,29.1,18,42,76.8,172.7,1
33.1,22.1,29.8,24.8,16.3,29,63.6,177.8,1
37.3,22.7,35.5,30.6,16.8,31,80.9,177.8,1
37,22.5,34,28.4,17.4,30,80.9,182.9,1
40.8,24.6,34.4,28.5,17.1,27,85.5,170.2,1
34.4,20,32.6,28.4,16.5,25,68.6,167.6,1
34,22,32,27.3,17,24,67.7,175.3,1
37.4,23,28.9,25,16.4,33,66.4,165.1,1
39.7,25.4,37.4,31.6,18.4,45,102.3,185.4,1
35.5,23.1,33,27,16.3,37,70.5,181.6,1
40.8,24.8,35.4,29.7,17.1,44,95.9,172.7,1
37.8,24.9,35.4,28.6,17.9,34,84.1,190.5,1
42.1,26.1,36.4,29.2,19.5,55,87.3,179.1,1
37.8,24,35,28.9,17.3,43,71.8,175.3,1
35,21,35,28.4,16.6,24,65.9,170.2,1
41.2,27.7,37.9,31.2,18.1,22,95.9,193,1
39.3,23.5,36.2,29.7,16.8,38,91.4,171.4,1
36,21.6,39,29.8,17.3,24,81.8,177.8,1
42.1,26.4,37.2,31.4,17.9,29,96.8,177.8,1
36.2,22.8,34.2,28.5,17.3,25,69.1,167.6,1
36.8,23.2,35.9,27.8,16.5,37,82.7,167.6,1
38.2,23.8,33.8,27.7,18.2,30,75.5,180.3,1
37,23.7,35.5,29.7,18.3,26,79.5,182.9,1
36.4,22.8,33,25.4,15.9,35,73.6,176.5,1
42.6,25.8,38.3,31.2,18.8,29,91.8,186.7,1
41.8,29.3,33.5,27.7,18,30,84.1,188,1
37.4,22.6,33.3,27.7,17.1,37,85.9,188,1
32.3,22,35.3,26.9,17.1,34,81.8,177.8,1
38.8,26.4,34,28.3,18.1,28,82.5,174,1
36.5,24.3,36.1,29.4,18.7,27,80.5,177.8,1
35.1,21.8,34.6,25.8,16.3,32,70,171.4,1
38.5,24.5,34.3,29,17.3,28,81.8,185.4,1
37.6,23,35.6,28.5,17.5,22,84.1,185.4,1
38.9,24.2,36.8,29,17.9,44,90.5,188,1
39.5,24.4,36.7,28.6,16.8,25,91.4,188,1
37.9,23.9,33.6,26.9,17.1,49,89.1,182.9,1
36.7,24.3,33.7,29,17.7,54,85,176.5,1
33.4,21.2,30.7,25.7,16.7,49,69.1,175.3,1
36.5,23.7,35.8,28.7,17.5,60,73.6,175.3,1
36.3,22,32.5,27.8,17.7,42,80.5,188,1
36.6,22.6,33.9,27.3,17.5,52,82.7,188,1
34.8,22,36.6,29.9,18.1,23,86.4,175.3,1
32.6,22,32.2,26.4,16.4,33,67.7,170.5,1
36.6,22.7,35.7,27.8,16.4,46,92.7,179.1,1
41.2,25.7,36.5,30.5,18.8,43,93.6,177.8,1
35,23.5,32.8,25.3,17.1,56,70.9,175.3,1
37,25.6,35.7,29.2,17.9,21,75,182.9,1
39.2,25.7,37.1,27.8,15.9,18,93.2,170.8,1
37.3,24.3,39.4,29.9,17.2,21,93.2,188,1
34.1,21.7,34.4,28.6,17.1,45,77.7,180.3,1
32.3,23,28.7,25,16.2,22,61.4,177.8,1
38.5,24.3,34,29.2,17.4,55,94.1,185.4,1
34,22,39.4,29.8,17,42,75,168.9,1
36.9,21.3,31.5,26.5,16.6,29,83.6,185.4,1
39.2,23,35.2,28.9,17.5,40,85.5,180.3,1
37,22,35.7,29.2,17.2,24,73.9,174,1
35,22.4,30.3,25,16.7,62,66.8,167.6,1
38.4,22.9,36.5,31.1,17.9,26,87.3,182.9,1
37,21.8,36,28,17.5,35,72.3,160,1
38.5,24,34.4,28.9,17,37,88.6,180.3,1
42,23.6,35.4,29,17.5,34,75.5,167.6,1
38.7,25.7,35.5,28.8,17.1,25,101.4,186.7,1
43.6,26.9,34.8,30.1,17,30,91.1,175.3,1
32.7,22.5,32.6,27.2,17.9,32,67.3,175.3,1
41.8,26.2,33.6,27.3,17.8,27,77.7,175.9,1
36.3,23.4,36.8,29.3,16.7,42,81.8,175.3,1
37.1,23.7,34,27.1,16.6,44,75.5,179.1,1
41.5,27.7,32.3,27.9,18.1,46,84.5,181.6,1
38.1,25.3,36.5,31,17.7,19,76.6,177.8,1
38.3,25.2,33.5,28.3,17.4,43,85,182.9,1
37.4,24.1,37.4,28.9,17.1,28,102.5,177.8,1
28.9,20.3,36.2,27,15.8,39,77.3,184.2,1
34.4,24.5,31.2,25.9,17.1,30,71.8,179.1,1
39.4,22.6,36.2,28.7,17.5,36,87.9,176.5,1
39.6,25.5,42.3,31.9,18.9,48,94.3,188,1
34.8,22.5,34.5,27.7,16.4,48,70.9,174,1
36,21.3,28,25.2,15.1,53,64.5,167.6,1
37.5,23.3,34.3,27.6,16.7,45,77.3,170.2,1
37,22.7,32.5,27.1,16.6,39,72.3,167.6,1
38.1,23,35.8,29.4,17,43,87.3,188,1
36,23.5,35,29.3,18.1,65,80,174,1
33.6,22.1,38.5,28.7,17.1,45,82.3,176.5,1
32.8,21.4,32.2,25.3,16.3,37,73.6,180.3,1
37.9,22.5,32.9,26.5,17.8,55,74.1,167.6,1
36.8,23.4,38.5,30.1,19.6,33,85.9,188,1
34.3,23.3,38.3,28.6,17.3,25,73.2,180.3,1
35.9,22.6,35,26.7,17.3,35,76.3,167.6,1
34.9,23.7,32.1,26.7,18.4,28,65.9,183,1
38.3,25.5,40.4,31.7,19.4,26,90.9,183,1
38.8,25.1,36.5,29.1,18.9,43,89.1,179.1,1
33.4,23.1,34.2,29.2,18.3,30,62.3,170.2,1
37.3,23.5,35.2,29.4,17.3,26,82.7,177.8,1
34.3,21.1,34,28.4,16.3,51,79.1,179.1,1
37,24.3,34.8,27.5,16.7,30,98.2,190.5,1
39.8,25.4,38.6,32,18.1,24,84.1,177.8,1
42,27.7,36.4,30.4,18.4,35,83.2,180.3,1
39.6,25.2,34,28.2,17,37,83.2,180.3,1
32.2,21,24.3,20.5,13.5,22,51.6,161.2,0
38.5,22.5,27.8,24,15,20,59,167.5,0
32.5,19,24,22,14,19,49.2,159.5,0
36.7,23,28,24,15,25,63,157,0
33.3,19.9,26.9,22.7,14.5,21,53.6,155.8,0
35,23,26.5,22.5,14.5,23,59,170,0
32,19,24.1,22,13.9,26,47.6,159.1,0
38,22,29.2,26.2,16.8,22,69.8,166,0
37.4,21.6,29,23.4,15.2,28,66.8,176.2,0
35.8,22.6,33.6,26.6,16.3,40,75.2,160.2,0
32.5,19.9,24.8,21,13.8,32,55.2,172.5,0
34.5,20.5,25.4,22.6,15.3,25,54.2,170.9,0
35.3,20.9,25.9,22.9,14.4,25,62.5,172.9,0
30.4,17.9,24,20.5,13.2,29,42,153.4,0
32.8,19.1,25.6,21.6,13.8,22,50,160,0
35,21,26,21.8,14,25,49.8,147.2,0
29.6,18.5,23.5,21,14.5,23,49.2,168.2,0
38.6,23.8,31,26.5,17,37,73.2,175,0
33,19,24.6,20.6,13.2,19,47.8,157,0
36.5,20.6,28.7,24.9,15.9,23,68.8,167.6,0
31.5,22,27,23,13.8,25,50.6,159.5,0
38.6,23,32.5,26.8,16.6,26,82.5,175,0
30.9,19.4,25.9,23.2,14.5,24,57.2,166.8,0
40,24.2,34.4,28.3,17.6,29,87.8,176.5,0
40,23,31.5,26.5,16,22,72.8,170.2,0
33.7,20.9,24.6,22.3,15.2,30,54.5,174,0
36,21,26.3,22.6,15,23,59.8,173,0
38.4,21.3,27.4,23.4,15.6,38,67.3,179.9,0
36.7,21.3,29.5,25.3,15.6,23,67.8,170.5,0
33,20.5,24.5,22.5,14.5,19,47,160,0
31.5,20.5,23.2,21.2,14,46,46.2,154.4,0
35,20.1,26.4,23.1,14.9,20,55,162,0
38.9,23.3,31.6,26.6,15.9,22,83,176.5,0
34.8,20.5,25,22.2,14.4,25,54.4,160,0
31,20,24.5,20.5,14,21,45.8,152,0
33.4,20,27,23.6,15.6,23,53.6,162.1,0
35.2,22.3,31,25.4,16.1,31,73.2,170,0
35.3,21.2,26.2,23.2,14.6,29,52.1,160.2,0
38,21.5,31,24.9,15.3,19,67.9,161.3,0
33.4,21.9,27.8,23.9,15.2,21,56.6,166.4,0
34.6,20,28.5,23.7,15.1,23,62.3,168.9,0
36.3,20.6,29.6,24.5,15.2,24,58.5,163.8,0
30,18.8,26.3,23,14.3,20,54.5,167.6,0
31.6,18.9,26.5,23.5,15,19,50.2,160,0
35.7,22,27,24.3,15.1,20,60.3,161.3,0
35.4,21.2,27.7,24.5,15.7,19,58.3,167.6,0
35.6,21,27.7,24.2,14.7,20,56.2,165.1,0
32.9,19.8,25.3,22.7,13.8,19,50.2,160,0
36.3,21.4,28.3,25.2,15.3,22,72.9,170,0
37.1,21.9,29,24.8,14.3,39,59.8,157.5,0
34,20.7,28.5,24.1,15.5,18,61,167.6,0
36,21,30,23.1,14.6,19,69.1,160.7,0
35.4,20.7,28,24.2,15.5,26,55.9,163.2,0
33.8,20.7,23.7,21.6,14.6,20,46.5,152.4,0
34,20.3,25.8,23.9,14.6,20,54.3,157.5,0
35.8,20.7,27.1,23.1,14.4,26,54.8,168.3,0
32.5,19.7,26,22.6,14.6,21,60.7,180.3,0
37.1,20.1,24.9,22.8,14.9,21,60,165.5,0
33.5,20,28,23,14.6,38,62,165,0
34.2,21.5,25.4,23.4,15.1,23,60.3,164.5,0
33.3,19.6,26.6,22.7,15.3,37,52.7,156,0
37.7,21.7,31.3,26.8,15.9,19,74.3,160,0
34.2,20.6,28,23,15,25,62,163,0
39.7,24.3,29.5,26.6,15.9,20,73.1,165.7,0
41.1,22.9,34.3,26.5,16.4,41,80,161,0
31.5,18.9,27.7,23.2,14.1,26,54.7,162,0
34.8,20.9,24.6,21.4,14.3,21,53.2,166,0
37.8,20.7,29.8,24.6,16.6,47,75.7,174,0
35,22.1,26.4,23.3,15.6,19,61.1,172.7,0
33.7,19.1,26.4,23.8,14.7,44,55.7,167.6,0
32.4,19,26.3,23.1,14.2,35,48.7,151.1,0
31.3,18.4,24.2,22.4,14.7,32,52.3,164.5,0
32.1,19.7,26.9,23,15,46,50,163.5,0
38.5,21.3,28,23.6,15.4,22,59.3,152,0
38.2,21.8,30.4,25.2,15.9,49,62.5,169,0
35.5,21,24.7,21.7,15,52,55.7,164,0
34.4,20.3,29.4,23.1,14.4,25,54.8,161.2,0
30.3,20.2,26.4,22.5,15,48,45.9,155,0
35.2,23.2,30.2,25.9,16.2,41,70.6,170,0
38.1,21.8,29.8,25,16.2,18,67.2,176.2,0
40.4,23.3,30.1,26.2,16.4,30,69.4,170,0
35.2,21.6,27,23.4,14.6,20,58.2,162.5,0
35,22.2,28.6,25.2,16.2,24,64.8,170.3,0
36.7,21.8,31.1,26.6,16.2,23,71.6,164.1,0
34.8,20.2,24.3,22.3,14.4,30,52.8,169.5,0
36.2,22.1,27,23.2,15.8,23,59.8,163.2,0
33.9,21.4,26,21.4,14.4,45,49,154.5,0
32.6,19.1,25.6,22.4,14,20,50,159.8,0
36.4,21.8,28,24.2,15.6,20,69.2,173.2,0
34.8,21,27.1,22.8,15,23,55.9,170,0
34.3,21.7,28.4,22.6,14.8,21,63.4,161.4,0
35.4,22.2,27,22.2,15.6,28,58.2,169,0
35.4,21.8,28.5,24.4,15.4,45,58.6,166.2,0
33,19.6,26.6,22.2,14,24,45.7,159.4,0
33,19.4,26.6,23.3,14.2,25,52.2,162.5,0
32.5,21,24.4,22.1,14.8,19,48.6,159,0
34.3,21.5,28.2,23.8,15,20,57.8,162.8,0
35.3,21.6,27.4,23,15.6,29,55.6,159,0
39,23.2,27,24.2,16.2,24,66.8,179.8,0
34,20.4,28.2,25.2,15.4,24,59.4,162.9,0
35.2,20.4,26.5,22.6,14.4,25,53.6,161,0
39.8,22,33.8,24.6,14.4,31,73.2,151.1,0
32.2,19,25.2,22.4,14.6,22,53.4,168.2,0
36.6,22,29.6,23.9,15.1,20,69,168.9,0
35.9,19.9,26.2,22.1,14.6,32,58.4,173.2,0
36.6,23.8,27.3,23.6,15.3,25,56.2,171.8,0
39.4,23.2,26.5,24.2,15.8,19,70.6,178,0
35.8,20.8,28.2,23.6,15.5,23,59.8,164.3,0
37,21.8,29.5,25.2,15.8,22,72,163,0
37,23,30.8,25.4,16,20,65.2,168.5,0
34,21.3,27.4,23.8,15.2,27,56.6,166.8,0
45,25.8,40.3,30.8,18.2,34,105.2,172.7,0
34.2,20.3,27.1,23.2,14.2,25,51.8,163.5,0
37.4,22,30,24.4,16,26,63.4,169.4,0
35.6,21,26.4,22.6,14.5,19,59,167.8,0
33,20,24.8,21.5,14,26,47.6,159.5,0
38.4,23.2,27.2,25.3,15.8,25,63,167.6,0
33.2,20.5,29,23.8,15,20,55.2,161.2,0
28.4,17.4,22.4,19.6,13.2,21,45,160,0
35.8,21.2,26,23.2,15.2,18,54,163.2,0
33,20.7,26.4,21.8,14.4,19,50.2,162.2,0
37.6,22.4,29.5,25.3,16.6,27,60.2,161.3,0
32,20.1,25,20.7,13.1,26,44.8,149.5,0
33.5,21.8,28.4,24.6,16,36,58.8,157.5,0
33,20.2,27.4,23.8,14.9,20,56.4,163.2,0
35.1,21.6,28,23.3,15.6,28,62,172.7,0
31.5,18.9,25.6,20.7,13.4,32,49.2,155,0
37.2,21.5,32.1,25.8,15.8,32,67.2,156.5,0
35,21,26.6,23.2,14.8,23,53.8,164,0
34.4,21.3,27.6,23.8,14.6,20,54.4,160.9,0
34,19.8,28.4,23.6,13.8,20,58,162.8,0
34.4,20,28.9,23.1,15,20,59.8,167,0
33.7,22,27.8,24,14.6,23,54.8,160,0
29.6,18.6,23.2,20.8,13.8,20,43.2,160,0
33.5,21.1,26.8,22,15.3,28,60.5,168.9,0
31.6,18.8,25,22.2,14.2,23,46.4,158.2,0
38.2,20.4,28.4,23.5,14.4,19,64.4,156,0
31.2,20.4,24.1,22,14.4,28,48.8,160,0
35,21.7,30.1,25.2,16,19,62.2,167.1,0
32.8,19,28.3,21.9,13.9,29,55.5,158,0
35.5,22,28.2,23.8,15.5,32,57.8,167.6,0
34.5,21.4,26.8,23.8,15.2,20,54.6,156,0
36.9,20.4,30.5,24.3,15.7,28,59.2,162.1,0
33,19.4,24.7,22.4,14.5,36,52.7,173.4,0
33.8,20.6,30.2,24.2,14.8,22,53.2,159.8,0
37.4,20.6,27.2,22.8,14.8,20,64.5,170.5,0
34.8,20.3,25.2,23,13.4,22,51.8,159.2,0
30.5,20.1,27.2,23.2,14.6,32,56,157.5,0
35.7,23.8,27.8,23.4,14.1,40,63.6,161.3,0
36.6,20.7,29.6,24.6,15.6,40,63.2,162.6,0
34,20.9,31,23.7,14.2,42,59.5,160,0
32.3,20.4,26.4,23.1,14.7,40,56.8,168.9,0
33.1,19.9,29.1,24.2,15,44,64.1,165.1,0
32.9,20.3,27.4,23.7,14.6,30,50,162.6,0
41.9,24.3,31.4,25,15.4,28,72.3,165.1,0
33.4,21.5,26.8,22.3,14.5,37,55,166.4,0
32.7,18.8,28.2,23.8,14.7,40,55.9,160,0
33.5,21,29.9,24.1,15.1,45,60.4,152.4,0
35.6,23.5,27.3,23.1,14.7,35,69.1,170.2,0
38.6,22.3,35.7,28.6,17.3,41,84.5,162.6,0
34.6,21.2,26.6,22.8,14.1,27,55.9,170.2,0
33.1,21.9,27.9,23.7,15.1,20,55.5,158.8,0
35.4,20.3,31.5,24.8,14.6,24,69.5,172.7,0
38,21,31.3,25,14.6,36,76.4,167.6,0
35.8,20.1,27.2,24.3,14.6,27,61.4,162.6,0
37,22.5,30.3,23.8,15.1,32,65.9,167.6,0
33.3,21.2,28.1,23.3,14.9,64,58.6,156.2,0
38.5,22.2,31,26.6,16,21,66.8,175.2,0
32.1,21,25.2,21.7,15,32,56.6,172.1,0
34.6,21.5,29.7,24.1,14.6,35,58.6,162.6,0
32.6,19.9,30,22.2,13.7,41,55.9,160,0
35.5,22.6,27.8,23.6,15.4,40,59.1,165.1,0
36.4,24.5,31.9,26,16,29,81.8,182.9,0
33.7,21.6,32,25.7,15.5,40,70.7,166.4,0
34.3,21,28,21.1,14.4,24,56.8,165.1,0
33.7,21.8,26,22.6,15,23,60,177.8,0
35.2,22.1,28.1,24,16,41,58.2,165.1,0
39.1,24.8,31.4,26.2,16.2,44,72.7,175.3,0
31.3,20.3,31.2,23,15.1,53,54.1,154.9,0
32.4,21,25.4,22.4,14.8,19,49.1,158.8,0
39.7,22.8,31.7,26.3,15.6,24,75.9,172.7,0
32.7,21.4,25.1,23.1,14.6,25,55,168.9,0
35,19.7,28.4,22.9,14.8,20,57.3,161.3,0
35.7,20.4,27.4,22.4,14.8,34,55,167.6,0
34.6,21.9,28.3,23,14.7,32,65.5,165.1,0
36.6,22.5,29.3,25,16.4,24,65.5,175.3,0
30.7,20.5,26.9,22.5,15.2,29,48.6,157.5,0
34.3,21.7,29.8,24.7,15.4,31,58.6,163.8,0
34.5,20.9,28.4,24.3,14.9,34,63.6,167.6,0
33,19.6,27.7,24.4,14.9,36,55.2,165.1,0
37.9,23.4,27.4,22.4,14.5,32,62.7,165.1,0
36.1,22,24.2,23.3,14.8,39,56.6,168.9,0
36.4,20.3,23.1,21,13,37,53.9,162.6,0
34.3,20.5,30.5,23.7,14.8,52,63.2,164.5,0
37,22.4,29.7,24.5,15.3,24,73.6,176.5,0
35.6,21,27.2,22.6,14.6,33,62,168.9,0
35.3,20.3,29.3,24.2,15.4,42,63.6,175.3,0
29.5,18.7,26.9,22.3,13.7,34,53.2,159.4,0
32.6,19.2,26.8,22.9,14.6,37,53.4,160,0
33.6,20.2,26.7,23.7,14.6,39,55,170.2,0
39.5,23.3,28.7,25.9,15.6,41,70.5,162.6,0
30.2,19.3,25,21,13.6,36,54.5,167.6,0
33.9,20.8,28.9,23.8,15.5,19,54.5,162.6,0
35,20.7,27.3,24.3,14.2,22,55.9,160.7,0
33.8,23,29.9,23.7,16.3,23,59,160,0
35.6,20,31,23.6,14.3,36,63.6,157.5,0
34.8,22.5,28.9,24.4,15.3,45,54.5,162.6,0
31.5,18.8,26.8,22.7,14.7,25,47.3,152.4,0
35.8,21.1,31.5,25.4,16.3,67,67.7,170.2,0
41.2,23.4,34.2,28.3,15.6,26,80.9,165.1,0
38.7,26,29.5,24.6,15.5,21,70.5,172.7,0
32,21.1,27.6,23.7,15.3,33,60.9,165.1,0
33.1,19.6,26.7,23.3,14.2,25,63.6,170.2,0
34.3,20.2,24.2,21.2,15,24,54.5,170.2,0
36.2,22,25.5,23.2,14.8,21,59.1,170.2,0
36.2,23.9,32.8,24.8,15.5,35,70.5,161.3,0
32.6,21,24.4,22,14,27,52.7,167.6,0
36.3,21.4,28.3,24.9,15.3,27,62.7,167.6,0
38.4,23.1,30.3,25.2,16.4,26,86.3,165.1,0
35.9,21.8,30.4,24.8,15.5,25,66.4,162.6,0
37.3,21.8,31.2,25.8,14.6,44,67.3,152.4,0
36.7,23.7,27,24.3,15.9,29,63,168.9,0
